time,pv_measurement
2019-06-02 22:00:00,0.0
2019-06-02 23:00:00,0.0
2019-06-03 00:00:00,0.0
2019-06-03 01:00:00,0.0
2019-06-03 02:00:00,19.36
2019-06-03 03:00:00,251.02
2019-06-03 04:00:00,263.78000000000003
2019-06-03 05:00:00,522.72
2019-06-03 06:00:00,904.42
2019-06-03 07:00:00,1238.8200000000002
2019-06-03 08:00:00,2189.8799999999997
2019-06-03 09:00:00,3047.2200000000003
2019-06-03 10:00:00,2163.26
2019-06-03 11:00:00,2686.64
2019-06-03 12:00:00,3175.92
2019-06-03 13:00:00,2730.86
2019-06-03 14:00:00,2093.96
2019-06-03 15:00:00,2774.2
2019-06-03 16:00:00,1833.48
2019-06-03 17:00:00,1057.54
2019-06-03 18:00:00,340.12
2019-06-03 19:00:00,48.4
2019-06-03 20:00:00,12.540000000000001
2019-06-03 21:00:00,0.0
2019-06-03 22:00:00,0.0
2019-06-03 23:00:00,0.0
2019-06-04 00:00:00,0.0
2019-06-04 01:00:00,6.38
2019-06-04 02:00:00,117.04
2019-06-04 03:00:00,305.58
2019-06-04 04:00:00,805.42
2019-06-04 05:00:00,1556.94
2019-06-04 06:00:00,2812.04
2019-06-04 07:00:00,2807.6400000000003
2019-06-04 08:00:00,4561.26
2019-06-04 09:00:00,4812.06
2019-06-04 10:00:00,4766.52
2019-06-04 11:00:00,4339.719999999999
2019-06-04 12:00:00,2464.0
2019-06-04 13:00:00,2361.0400000000004
2019-06-04 14:00:00,1921.92
2019-06-04 15:00:00,1918.1799999999998
2019-06-04 16:00:00,681.34
2019-06-04 17:00:00,226.38
2019-06-04 18:00:00,235.84
2019-06-04 19:00:00,220.21999999999997
2019-06-04 20:00:00,38.94
2019-06-04 21:00:00,0.0
2019-06-04 22:00:00,0.0
2019-06-04 23:00:00,0.0
2019-06-05 00:00:00,0.0
2019-06-05 01:00:00,10.780000000000001
2019-06-05 02:00:00,104.28
2019-06-05 03:00:00,284.24
2019-06-05 04:00:00,807.84
2019-06-05 05:00:00,1336.28
2019-06-05 06:00:00,1399.4199999999998
2019-06-05 07:00:00,1189.76
2019-06-05 08:00:00,1719.74
2019-06-05 09:00:00,1232.44
2019-06-05 10:00:00,1139.6
2019-06-05 11:00:00,972.1800000000001
2019-06-05 12:00:00,1572.56
2019-06-05 13:00:00,3044.8
2019-06-05 14:00:00,2132.02
2019-06-05 15:00:00,1995.4
2019-06-05 16:00:00,343.42
2019-06-05 17:00:00,0.0
2019-06-05 18:00:00,0.0
2019-06-05 19:00:00,0.0
